,İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
1243,29/05/2020,Citroen,C-Elysee,1.6 HDi  Shine,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,100000,99000
1244,28/05/2020,Citroen,C5,1.6 e-HDI Confort,2013.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Sahibinden,2. El,127000,108500
1245,26/05/2020,Citroen,C-Elysee,1.6 HDi Confort,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Sahibinden,2. El,210000,56000
1247,24/05/2020,Citroen,Xantia,"2.0
",1994.0,Benzin,Düz Vites,1801-2000 cc,126-150 BG,Mavi ,Sedan,Sahibinden,2. El,166000,13750
1248,21/05/2020,Citroen,C-Elysee,1.2 VTi Attraction,2019.0,Benzin,Düz Vites,1300 cc ve altı,100 BG ve altı,Beyaz ,Diğer,Yetkili,0 km,13162,93750
1250,20/05/2020,Citroen,C5,1.6 HDI SX PK,2007.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,280000,45000
1251,18/05/2020,Citroen,C3,1.2 PureTech Shine ,2020.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Füme ,Hatchback 5 Kapı,Galeriden,2. El,5,145000
1253,18/05/2020,Citroen,C-Elysee,1.2 VTi Attraction,2013.0,Benzin,Düz Vites,1300 cc ve altı,51-75 BG,Beyaz ,Sedan,Galeriden,2. El,129000,58500
1254,18/05/2020,Citroen,C3,1.2 PureTech Shine ,2020.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Hatchback 5 Kapı,Galeriden,0 km,0,135900
1255,16/05/2020,Citroen,C4,1.6 HDI 92HP CONFORT M/T,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,103000,105000
1256,16/05/2020,Citroen,C5,1.6 HDI SX,2007.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Galeriden,2. El,222000,58000
1257,15/05/2020,Citroen,C4 Cactus,1.6 e-HDI Shine,2015.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,100 BG ve altı,Sarı ,Hatchback 5 Kapı,Galeriden,2. El,62500,137750
1258,14/05/2020,Citroen,C2,1.4 HDi SX,2004.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,245000,31000
1264,12/05/2020,Citroen,C-Elysee,1.6 HDi Confort,2013.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Beyaz ,Sedan,Sahibinden,2. El,185000,61000
1265,10/05/2020,Citroen,C-Elysee,1.6 HDi  Feel,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Sahibinden,2. El,95000,85000
1267,07/05/2020,Citroen,C5 AirCross,1.5 BlueHDI Shine ,2020.0,Dizel,Otomatik Vites,1601-1800 cc,126-150 BG,Beyaz ,Crossover,Galeriden,2. El,6000,270000
1269,01/05/2020,Citroen,C-Elysee,1.6 HDi Confort,2013.0,Dizel,Düz Vites,1601-1800 cc,100 BG ve altı,Beyaz ,Sedan,Sahibinden,2. El,135000,72850
1271,28/04/2020,Citroen,C5,2.0 SX,2006.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,126-150 BG,Gri ,Sedan,Sahibinden,2. El,167000,55500
1272,26/04/2020,Citroen,C4 Cactus,1.6 e-HDI Shine,2016.0,Dizel,Otomatik Vites,1301-1600 cc,100 BG ve altı,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,49000,139000
1273,25/04/2020,Citroen,C4,1.6 HDI SX,2005.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Bordo ,Hatchback 5 Kapı,Sahibinden,2. El,272000,47500
1274,23/04/2020,Citroen,C5,2.0 HDI,2004.0,Dizel,Düz Vites,1801-2000 cc,101-125 BG,Lacivert ,Station Wagon,Galeriden,2. El,285000,41750
1275,23/04/2020,Citroen,DS4,1.6 e-HDi DSport,2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Yetkili,0 km,103000,155000
1277,21/04/2020,Citroen,C2,"1.4 HDi
",2006.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Bordo ,Hatchback 3 Kapı,Sahibinden,2. El,276000,35500
1279,20/04/2020,Citroen,Saxo,1.4 SX,2000.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,126-150 BG,Mavi ,Hatchback 5 Kapı,Sahibinden,2. El,149000,26850
1405,14/04/2020,Citroen,C2,"1.4 HDi
",2006.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Kırmızı ,Hatchback 3 Kapı,Sahibinden,2. El,207000,40000
1406,13/04/2020,Citroen,C4,1.6 HDI SX,2007.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,262000,44500
1407,05/04/2020,Citroen,C4,1.6 HDI SX,2011.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,210000,61500
1408,03/04/2020,Citroen,C4,1.6 VTR,2007.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Füme ,Spor / Coupe,Sahibinden,2. El,146524,55000
1409,03/04/2020,Citroen,Xsara,Picasso 1.6,2002.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Yeşil ,MPV,Sahibinden,2. El,300000,19500
1410,02/04/2020,Citroen,C4,1.6 HDI SX PK,2011.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,273000,52750
1411,02/04/2020,Citroen,C5,"1.6 HDi
",2011.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Siyah ,Sedan,Sahibinden,2. El,197000,80000
1413,26/03/2020,Citroen,C-Elysee,1.2 VTi Attraction,2013.0,Benzin,Düz Vites,1300 cc ve altı,100 BG ve altı,Gri ,Sedan,Galeriden,2. El,150000,55000
1414,24/03/2020,Citroen,C3,1.6 BlueHDi Live,2017.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,105000,91900
1415,22/03/2020,Citroen,C4,"1.6 e-HDi Confort Plus
",2013.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,173000,72500
1416,19/03/2020,Citroen,C2,VTS 1.6,2006.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,172000,44500
1419,16/05/2020,Chrysler,Grand,Grand,1998.0,Benzin/LPG,Otomatik Vites,3501-4000 cc,151-175 BG,Kahverengi ,Minivan,Sahibinden,2. El,228000,52500
1421,06/05/2020,Chrysler,Grand,Grand,2006.0,Dizel,Otomatik Vites,2501-3000 cc,151-175 BG,Siyah ,MPV,Sahibinden,2. El,230000,94000
1429,20/03/2020,Chrysler,300 C,3.0 CRD,2009.0,Dizel,Otomatik Vites,2501-3000 cc,201-225 BG,Gri ,Sedan,Galeriden,2. El,200000,135000
1430,20/03/2020,Chrysler,Stratus,2.5 LX,1997.0,Benzin/LPG,Otomatik Vites,2001-2500 cc,151-175 BG,Kahverengi ,Sedan,Galeriden,2. El,356000,35000
1432,11/06/2020,Dacia,Duster,1.5 dCi Comfort,2018.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Station Wagon,Galeriden,2. El,34000,137500
1433,16/06/2020,Dacia,Sandero,1.5 dCi Stepway,2014.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Diğer ,Sedan,Galeriden,2. El,100000,80000
1434,16/06/2020,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Arazi Aracı,Galeriden,Hasarlı,76000,69500
1435,16/06/2020,Dacia,Sandero,1.5 dCi Stepway,2016.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Bordo ,Hatchback 5 Kapı,Galeriden,2. El,48000,99750
1436,16/06/2020,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,134000,106500
1438,15/06/2020,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,129221,115000
1439,14/06/2020,Dacia,Duster,1.5 dCi Ambiance,2016.0,Benzin/LPG,Düz Vites,1601-1800 cc,126-150 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,225000,100750
1440,14/06/2020,Dacia,Duster,1.5 dCi Prestige,2018.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Gri ,Arazi Aracı,Galeriden,2. El,65000,169750
1441,14/06/2020,Dacia,Sandero,1.5 dCi Stepway,2016.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Bordo ,Hatchback 5 Kapı,Galeriden,2. El,95000,89000
1442,13/06/2020,Dacia,Sandero,1.5 dCi Stepway,2014.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Gri ,Hatchback 5 Kapı,Galeriden,2. El,188000,68000
1443,13/06/2020,Dacia,Sandero,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1601-1800 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,50000,100000
1444,13/06/2020,Dacia,Lodgy,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Station Wagon,Galeriden,2. El,130000,84750
1445,12/06/2020,Dacia,Logan,1.4 Ambiance,2006.0,Benzin/LPG,Düz Vites,1601-1800 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,255000,29750
1446,12/06/2020,Dacia,Duster,1.5 dCi Laureate,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,220000,86500
1447,12/06/2020,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,133000,110000
1448,12/06/2020,Dacia,Duster,1.5 dCi Laureate,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Arazi Aracı,Galeriden,2. El,96000,133500
1449,12/06/2020,Dacia,Sandero,1.5 dCi Stepway,2016.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Diğer ,Hatchback 3 Kapı,Galeriden,0 km,89419,97900
1450,12/06/2020,Dacia,Sandero,1.5 dCi Stepway,2018.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Diğer ,Hatchback 3 Kapı,Galeriden,0 km,40437,111900
1452,11/06/2020,Dacia,Duster,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Arazi Aracı,Sahibinden,2. El,54350,127500
1453,09/06/2020,Dacia,Duster,1.5 dCi Ambiance,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Arazi Aracı,Sahibinden,2. El,31000,120000
1454,09/06/2020,Dacia,Duster,1.5 dCi Laureate,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Arazi Aracı,Galeriden,2. El,110000,121900
1456,09/06/2020,Dacia,Sandero,1.5 dCi Stepway,2014.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş ,Hatchback 5 Kapı,Sahibinden,2. El,100000,80000
1457,08/06/2020,Dacia,Sandero,1.5 dCi Stepway,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,134000,77500
1460,05/06/2020,Dacia,Sandero,1.0 Ambiance,2017.0,Benzin,Düz Vites,1300 cc ve altı,51-75 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,29000,77750
1461,04/06/2020,Dacia,Duster,1.0 Tce Comfort,2020.0,Benzin,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,15,129500
1462,04/06/2020,Dacia,Duster,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,98500,118500
1463,03/06/2020,Dacia,Sandero,1.5 dCi Stepway,2012.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,165000,70000
1465,02/06/2020,Dacia,Duster,1.5 dCi Laureate,2017.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,120000,125000
1466,01/06/2020,Dacia,Logan,1.6 MCV Black Line,2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,601 BG ve üzeri,Bej ,Station Wagon,Sahibinden,2. El,178000,60000
1467,01/06/2020,Dacia,Duster,1.5 dCi Laureate,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gümüş Gri ,MPV,Galeriden,2. El,101000,101500
1469,30/05/2020,Dacia,Duster,"1.5 dCi
",2016.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Station Wagon,Galeriden,2. El,142000,115000
1470,28/05/2020,Dacia,Sandero,1.5 dCi,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Bordo ,Hatchback 5 Kapı,Sahibinden,2. El,443000,62500
1472,23/05/2020,Dacia,Lodgy,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gri ,MPV,Sahibinden,2. El,63000,110000
1473,22/05/2020,Dacia,Duster,1.5 dCi Laureate,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Sahibinden,2. El,167000,79000
1474,22/05/2020,Dacia,Sandero,1.5 dCi Stepway,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,72500,83000
1475,22/05/2020,Dacia,Duster,1.5 dCi Laurate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Station Wagon,Sahibinden,2. El,61000,104000
1476,21/05/2020,Dacia,Sandero,1.5 BlueDCI Stepway,2019.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,5000,129900
1477,20/05/2020,Dacia,Duster,1.5 dCi Laureate,2012.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,376000,75000
1478,18/05/2020,Dacia,Logan,1.4 Ambiance,2005.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Sedan,Sahibinden,2. El,98500,42500
1479,18/05/2020,Dacia,Lodgy,1.5 dCi Stepway,2019.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Füme ,MPV,Galeriden,2. El,4500,142000
1480,18/05/2020,Dacia,Sandero,1.5 dCi Stepway,2014.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,136000,79500
1481,18/05/2020,Dacia,Duster,1.2 Tce Comfort,2018.0,Benzin,Düz Vites,1300 cc ve altı,101-125 BG,Kahverengi ,Arazi Aracı,Galeriden,2. El,33000,118750
1484,17/05/2020,Dacia,Duster,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Füme ,Hatchback 5 Kapı,Galeriden,2. El,116000,98500
1485,14/05/2020,Dacia,Duster,1.6 Sce Comfort,2020.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,8100,152000
1486,14/05/2020,Dacia,Sandero,1.0 Ambiance,2018.0,Benzin,Düz Vites,1300 cc ve altı,51-75 BG,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,40000,75000
1487,13/05/2020,Dacia,Sandero,1.5 dCi Stepway,2011.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,188000,64000
1493,08/05/2020,Dacia,Logan,1.2 16V Ambiance,2014.0,Benzin,Düz Vites,1300 cc ve altı,51-75 BG,Gri ,Station Wagon,Sahibinden,2. El,123000,63500
1494,06/05/2020,Dacia,Sandero,1.0 Ambiance,2019.0,Benzin,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,0 km,10,90000
1495,06/05/2020,Dacia,1310,1310 L,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,220000,21000
1496,05/05/2020,Dacia,Duster,1.5 dCi Prestige,2018.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Turuncu ,Diğer,Sahibinden,2. El,25000,166500
1497,04/05/2020,Dacia,Logan,1.4,2009.0,Benzin,Düz Vites,1301-1600 cc,51-75 BG,Gümüş Gri ,Sedan,Galeriden,2. El,113000,32750
1498,02/05/2020,Dacia,Duster,1.5 dCi Ambiance,2016.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Sahibinden,2. El,169000,97000
1499,02/05/2020,Dacia,Duster,1.6 Sce Comfort,2020.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Sahibinden,0 km,0,132250
1501,29/04/2020,Dacia,Sandero,1.4 Ambiance,2010.0,Benzin/LPG,Düz Vites,1301-1600 cc,51-75 BG,Gri ,Hatchback 5 Kapı,Galeriden,2. El,231000,45000
1502,27/04/2020,Dacia,1310,1310 L,2019.0,Benzin/LPG,Düz Vites,1300 cc ve altı,100 BG ve altı,Mavi ,Station Wagon,Sahibinden,2. El,1400,79500
1503,24/04/2020,Dacia,Lodgy,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Füme ,MPV,Sahibinden,2. El,132000,87000
1504,23/04/2020,Dacia,Duster,1.6 Ambiance,2013.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Sahibinden,2. El,135000,72900
1506,18/04/2020,Dacia,Sandero,1.5 dCi Stepway,2016.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,98500,81000
1631,17/04/2020,Dacia,Duster,1.5 dCi Laurate,2012.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Arazi Aracı,Sahibinden,2. El,72200,102500
1632,16/04/2020,Dacia,Sandero,1.6 Stepway,2011.0,Benzin/LPG,Düz Vites,1601-1800 cc,100 BG ve altı,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,90000,67000
1633,14/04/2020,Dacia,Sandero,1.5 DCI Ambiance,2010.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,173000,46500
1634,10/04/2020,Dacia,Duster,"1.5 dCi
",2012.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,210000,79000
1636,07/04/2020,Dacia,Logan,1.5 dCi MCV Ambiance,2014.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Station Wagon,Sahibinden,2. El,104000,74250
1637,07/04/2020,Dacia,Duster,1.5 dCi Laureate,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Füme ,Arazi Aracı,Galeriden,2. El,110000,103500
1638,03/04/2020,Dacia,Solenza,1.4 Rapsodie,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Kırmızı ,Sedan,Sahibinden,2. El,193000,22000
1639,24/03/2020,Dacia,Sandero,1.4 Ambiance,2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,51-75 BG,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,194000,42000
1640,24/03/2020,Dacia,Duster,1.3 Tce Prestige,2019.0,Benzin,Düz Vites,1301-1600 cc,126-150 BG,Turuncu ,Arazi Aracı,Galeriden,2. El,3000,129000
1641,21/03/2020,Dacia,Duster,1.5 dCi Laureate,2012.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Arazi Aracı,Sahibinden,2. El,183000,77500
1642,19/03/2020,Dacia,Logan,1.2 16V Ambiance,2015.0,Benzin,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Station Wagon,Sahibinden,2. El,49000,69500
1643,19/03/2020,Dacia,Duster,1.5 dCi Laureate,2015.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Füme ,Crossover,Sahibinden,2. El,46000,105000
1645,16/06/2020,Fiat,Linea,1.3 Multijet Pop,2014.0,Dizel,Düz Vites,1300 cc ve altı,100 BG ve altı,Beyaz ,Sedan,Galeriden,2. El,184000,63950
1646,16/06/2020,Fiat,Egea,1.6 Multijet S-Design,2019.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,16000,169500
1647,16/06/2020,Fiat,Linea,"1.3 Multijet
",2009.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Füme ,Sedan,Galeriden,2. El,180000,51500
1648,16/06/2020,Fiat,Uno,60 S,1994.0,Benzin/LPG,Düz Vites,1300 cc ve altı,50 BG ve altı,Mavi ,Sedan,Sahibinden,2. El,175000,12500
1649,16/06/2020,Fiat,Siena,1.6 HL,1999.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Kırmızı ,Sedan,Galeriden,2. El,119000,38000
1650,16/06/2020,Fiat,Siena,1.6 HL,1999.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,197000,36000
1651,16/06/2020,Fiat,Stilo,1.6 Dynamic,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,159000,50000
1652,16/06/2020,Fiat,Egea,1.4 Fire Easy,2020.0,Benzin,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Sedan,Galeriden,0 km,3600,102500
1653,16/06/2020,Fiat,Linea,1.3 Multijet Active,2013.0,Dizel,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,207000,56500
1654,16/06/2020,Fiat,Tipo,1.6 DGT,1991.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,220000,28000
1655,15/06/2020,Fiat,Uno,60 S,1994.0,Benzin/LPG,Düz Vites,1300 cc ve altı,51-75 BG,Yeşil ,Sedan,Sahibinden,2. El,118000,13800
1656,15/06/2020,Fiat,Marea,1.6 Liberty,2006.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Sedan,Galeriden,2. El,238,34500
1657,15/06/2020,Fiat,Egea,1.3 Multijet Urban Plus,2019.0,Dizel,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Sedan,Sahibinden,2. El,6250,127000
1658,15/06/2020,Fiat,Punto,EVO 1.4 Active Fire,2011.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,90790,92500
1659,15/06/2020,Fiat,Albea,1.3 M.jet SL,2010.0,Dizel,Düz Vites,1300 cc ve altı,100 BG ve altı,Gümüş Gri ,Sedan,Sahibinden,2. El,210000,32000
1660,15/06/2020,Fiat,Egea,1.6 E-Torq Easy Plus,2019.0,Benzin,Otomatik Vites,1601-1800 cc,101-125 BG,Beyaz ,Sedan,Sahibinden,2. El,24700,123950
1662,15/06/2020,Fiat,Palio,1.3 Multijet Active,2006.0,Dizel,Düz Vites,1300 cc ve altı,51-75 BG,Gümüş Gri ,Hatchback 3 Kapı,Sahibinden,2. El,283000,20000
1663,15/06/2020,Fiat,Linea,1.6 Multijet Easy,2014.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,153000,75500
1664,15/06/2020,Fiat,Egea,1.4 Fire Urban Plus,2020.0,Benzin,Düz Vites,1301-1600 cc,100 BG ve altı,Kırmızı ,Sedan,Sahibinden,0 km,980,117000
1665,15/06/2020,Fiat,Palio,1.3 M.jet,2004.0,Dizel,Düz Vites,1300 cc ve altı,51-75 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,164500,38000
1666,15/06/2020,Fiat,Egea,1.4 Fire Urban Plus,2019.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Sedan,Sahibinden,2. El,16000,110000
1667,15/06/2020,Fiat,Diğer,Diğer,1994.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,200000,16750
1668,15/06/2020,Fiat,Palio,1.2 Active,2001.0,Benzin/LPG,Düz Vites,1300 cc ve altı,51-75 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,213000,26000
1669,15/06/2020,Fiat,Siena,1.6 HL,2000.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Sahibinden,2. El,235,24500
1670,14/06/2020,Fiat,Egea,1.6 Multijet Easy Plus,2018.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Sahibinden,2. El,65000,128500
1671,14/06/2020,Fiat,Linea,"1.3 Multijet
",2012.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Sahibinden,2. El,298000,45500
1672,14/06/2020,Fiat,Linea,1.4 Fire Actual Plus,2015.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,113500,62500
1673,14/06/2020,Fiat,Linea,1.3 Multijet Pop,2017.0,Dizel,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,89000,77500
1674,14/06/2020,Fiat,Linea,1.3 Multijet Pop,2016.0,Dizel,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Sedan,Sahibinden,2. El,93000,79500
1675,14/06/2020,Fiat,Egea,1.4 Fire Easy,2020.0,Benzin,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Sahibinden,0 km,600,109900
1676,14/06/2020,Fiat,Linea,"1.3 Multijet Active Plus
",2014.0,Dizel,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Sedan,Sahibinden,2. El,123000,72000
1677,14/06/2020,Fiat,Egea,1.4 Fire Urban Plus,2018.0,Benzin,Düz Vites,1301-1600 cc,76-100 BG,Bej ,Hatchback 5 Kapı,Galeriden,2. El,18600,115000
1678,13/06/2020,Fiat,Linea,"1.3 Multijet Active Plus
",2014.0,Dizel,Düz Vites,1300 cc ve altı,76-100 BG,Gri ,Sedan,Sahibinden,2. El,161700,62750
