,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
0,Jaguar,XF,2.0 D Prestige Plus,2017.0,Dizel,Otomatik Vites,1801,176,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,26100,634500
2,Acura,CL,2.2,1994.0,Benzin/LPG,Düz Vites,1301,101,Turkuaz ,Sedan,Sahibinden,2. El,175000,19750
4,Acura,CL,2.2,2010.0,Dizel,Otomatik Vites,1801,151,Beyaz ,Sedan,Sahibinden,2. El,207000,148750
5,Acura,CL,2.2,1999.0,Dizel,Düz Vites,1801,101,Lacivert ,Roadster,Galeriden,2. El,320000,42500
6,Acura,CL,2.2,2014.0,Dizel,Otomatik Vites,1301,101,Kırmızı ,Sedan,Galeriden,2. El,183,170000
8,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Beyaz ,Sedan,Yetkili,0 km,15662,189000
9,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Gri ,Sedan,Yetkili,0 km,31971,189000
19,Jeep,Wrangler,2.8 CRD,2014.0,Dizel,Otomatik Vites,2501,126,Siyah ,Arazi Aracı,Galeriden,2. El,54000,457500
20,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Gri ,Diğer,Yetkili,0 km,13500,175000
21,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Gri ,Diğer,Yetkili,0 km,14000,175000
23,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,101,Mavi ,Sedan,Galeriden,0 km,29550,173900
24,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,16563,179250
25,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,11281,179250
28,Acura,CL,2.2,2016.0,Benzin,Düz Vites,1300,76,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,70000,77500
30,Acura,CL,Diğer,2012.0,Dizel,Düz Vites,1601,100,Gümüş Gri ,Sedan,Sahibinden,2. El,99750,86500
31,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,11453,176750
32,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Siyah ,Diğer,Yetkili,0 km,50943,186750
33,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,11936,176750
34,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,12840,176750
35,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,10209,176750
36,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,12008,176750
37,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,101,Mavi ,Sedan,Galeriden,0 km,29218,178900
38,Acura,CL,2.2,2011.0,Dizel,Düz Vites,1601,101,Bordo ,Hatchback 5 Kapı,Sahibinden,2. El,302000,51000
39,Hyundai,Tucson,1.6 GDI Style,2015.0,Benzin,Otomatik Vites,1301,101,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000
40,Acura,CL,Diğer,2004.0,Benzin/LPG,Düz Vites,1301,100,Gri ,Sedan,Sahibinden,2. El,170000,55000
41,Acura,RSX,Type-S,2019.0,Hibrit,Otomatik Vites,1601,100,Diğer ,Diğer,Yetkili,0 km,11400,176750
42,Acura,CL,2.2,2008.0,Dizel,Düz Vites,1301,101,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,189000,58750
46,Alfa Romeo,147,1.6 TS Distinctive,2008.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,220000,45000
47,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013.0,Dizel,Düz Vites,1301,101,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,114000,113000
48,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,246000,43750
49,Alfa Romeo,Mito,1.4 T MultiAir TCT City,2012.0,Benzin,Otomatik Vites,1301,126,Beyaz ,Hatchback 3 Kapı,Sahibinden,2. El,100000,108000
50,Alfa Romeo,156,2.0 TS 16V Selespeed,2002.0,Benzin/LPG,Yarı Otomatik Vites,1801,151,Beyaz ,Sedan,Galeriden,2. El,220000,45000
52,Alfa Romeo,156,1.9 JTD 16V Progression,2016.0,Dizel,Otomatik Vites,1301,101,Diğer ,Diğer,Yetkili,0 km,41128,236750
61,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,236500,38500
62,Alfa Romeo,145,1.6 L,2015.0,Benzin,Otomatik Vites,1301,151,Siyah ,Diğer,Yetkili,0 km,104860,343250
63,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501,276,Gri ,Arazi Aracı,Galeriden,2. El,274654,162750
65,Audi,A6,2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801,126,Siyah ,Sedan,Galeriden,2. El,336000,117500
66,Audi,A4,2.0 TDI,2009.0,Dizel,Yarı Otomatik Vites,2001,126,Siyah ,Sedan,Galeriden,2. El,298000,119900
67,Audi,A4,A4 Sedan 2.0 TDI,2012.0,Dizel,Otomatik Vites,1801,126,Beyaz ,Sedan,Galeriden,2. El,164000,177500
69,Audi,A3,1.6 TDI Ambition,2016.0,Dizel,Yarı Otomatik Vites,1301,101,Siyah ,Sedan,Sahibinden,2. El,43500,248000
70,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501,226,Siyah ,Arazi Aracı,Galeriden,2. El,230000,155000
71,Audi,A4,2.0 TDI,2015.0,Dizel,Yarı Otomatik Vites,1801,126,Siyah ,Sedan,Sahibinden,2. El,85000,262000
72,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2008.0,Benzin,Düz Vites,1301,101,Füme ,Hatchback 5 Kapı,Galeriden,2. El,201500,83900
74,Audi,A3,"1.6 TDI Ambition Sportback
",2012.0,Dizel,Otomatik Vites,1301,126,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,114000,145000
76,Audi,A4,A4 Sedan 3.0,2003.0,Benzin,Yarı Otomatik Vites,2501,201,Bej ,Sedan,Galeriden,2. El,239000,79900
77,Audi,A5,A5 Coupe 1.8 TFSI,2010.0,Benzin,Yarı Otomatik Vites,1601,151,Gümüş Gri ,Spor / Coupe,Galeriden,2. El,105000,159900
78,Audi,A5,1.8 TFSI Coupe,2011.0,Benzin,Yarı Otomatik Vites,1601,151,Beyaz ,Spor / Coupe,Sahibinden,2. El,94000,175000
79,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Otomatik Vites,1301,101,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,147500,147500
80,Audi,Q5,2.0 TDI Quattro Sport,2017.0,Dizel,Otomatik Vites,1801,176,Mavi ,Arazi Aracı,Galeriden,2. El,47800,669900
81,Audi,A4,2.0 TDI,2016.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,80000,274900
82,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014.0,Dizel,Otomatik Vites,1301,126,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,182000,199500
83,Audi,Q7,3.0 TDI Quattro,2016.0,Dizel,Otomatik Vites,2501,251,Siyah ,Arazi Aracı,Galeriden,2. El,138000,820000
84,Audi,A3,1.6 Attraction Sportback,2012.0,Benzin/LPG,Düz Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,135000,83900
85,Audi,A6,2.0 TDI,2011.0,Dizel,Otomatik Vites,1801,176,Gri ,Sedan,Galeriden,2. El,141000,232000
86,Audi,A6,2.0 TDI,2014.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,174000,308750
88,Audi,A3,1.8 Ambiente,2000.0,Benzin/LPG,Otomatik Vites,1601,101,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,230000,44000
91,Audi,A3,1.6 TDI Sedan,2016.0,Dizel,Otomatik Vites,1301,101,Siyah ,Sedan,Galeriden,2. El,8000,255000
92,Audi,A5,2.7 TDI,2009.0,Dizel,Yarı Otomatik Vites,2501,176,Siyah ,Spor / Coupe,Galeriden,2. El,126000,162500
94,Audi,A3,A3 Sedan 1.6 TDI Design Line,2018.0,Dizel,Otomatik Vites,1301,101,Siyah ,Sedan,Galeriden,2. El,35000,236000
96,Audi,A4,A4 Sedan 2.0 TDI Quattro,2015.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,141000,222000
97,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Sedan,Galeriden,2. El,113000,225000
99,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801,151,Beyaz ,Sedan,Galeriden,2. El,210000,200000
100,Audi,A4,1.6,1996.0,Benzin/LPG,Otomatik Vites,1301,76,Lacivert ,Sedan,Galeriden,2. El,100,33500
102,Volkswagen,Polo,1.4 TDI Comfortline,2017.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,142000,123500
103,Audi,A6,2.0 TDI,2007.0,Dizel,Düz Vites,1801,126,Mavi ,Sedan,Galeriden,2. El,198000,120000
104,Audi,A4,2.0 TDI,2012.0,Dizel,Otomatik Vites,1801,126,Siyah ,Sedan,Sahibinden,2. El,168000,165000
105,Audi,A6,"2.0 Quattro
",2016.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,70000,475000
106,Audi,A3,"1.6 TDI Sportback
",2019.0,Dizel,Yarı Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,19000,249950
107,Audi,A3,A3 Cabrio 1.5 TFSI Sport Line,2018.0,Benzin,Yarı Otomatik Vites,1301,126,Beyaz ,Spor / Coupe,Galeriden,2. El,21000,335000
108,Audi,A3,Diğer,2017.0,Benzin,Yarı Otomatik Vites,1301,126,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,25000,225000
109,Audi,A4,1.4 TFSI,2016.0,Benzin,Otomatik Vites,1301,126,Bej ,Sedan,Galeriden,2. El,37700,297900
110,Audi,A6,2.0 TDI,2013.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,164000,269900
112,Audi,Q5,2.0 TDI Quattro,2011.0,Dizel,Otomatik Vites,1801,151,Beyaz ,Arazi Aracı,Galeriden,2. El,117000,255000
113,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1301,151,Lacivert ,Sedan,Galeriden,2. El,52500,208500
114,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017.0,Benzin,Otomatik Vites,1301,126,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,29000,445000
115,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017.0,Benzin,Otomatik Vites,1301,126,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,51750,399999
116,Audi,A5,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801,101,Beyaz ,Sedan,Galeriden,2. El,200000,222000
117,Audi,A6,1.9 TDI,2004.0,Dizel,Yarı Otomatik Vites,1801,126,Gümüş Gri ,Sedan,Galeriden,2. El,311000,65000
118,Audi,A4,1.6,2001.0,Benzin/LPG,Düz Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,300000,42500
119,Audi,A4,2.0 TDI,2016.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,121280,267500
120,Audi,Q2,1.0 TFSI Design,2019.0,Benzin,Otomatik Vites,1300,101,Beyaz ,Arazi Aracı,Galeriden,2. El,4500,265000
121,Audi,A4,2.0 TDI,2012.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,202000,182500
122,Land Rover,Discovery Sport,2.0 TD4 HSE,2016.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Arazi Aracı,Galeriden,2. El,200550,444500
131,Audi,A6,A6 Sedan 2.0 TFSI,2007.0,Benzin/LPG,Otomatik Vites,1801,176,Füme ,Sedan,Sahibinden,2. El,255000,118000
132,Audi,A3,"1.6 TDI Ambition Sportback
",2015.0,Dizel,Otomatik Vites,1301,101,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,93000,193000
133,Audi,A3,1.6 FSI Sportback,2006.0,Benzin,Düz Vites,1301,101,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,220000,68500
134,Audi,A3,1.4 TFSI Attraction,2010.0,Benzin,Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,68000,127000
135,Audi,100 Serisi,2.0,1993.0,Benzin/LPG,Otomatik Vites,1301,126,Siyah ,Sedan,Galeriden,2. El,330000,36500
136,Audi,A4,1.4 TFSI,2016.0,Benzin,Yarı Otomatik Vites,1301,126,Beyaz ,Sedan,Galeriden,2. El,168000,242000
137,Audi,A4,A4 Sedan 2.0 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Sedan,Galeriden,2. El,55000,325000
138,Audi,A3,1.6 TDI Sedan,2017.0,Dizel,Yarı Otomatik Vites,1601,101,Siyah ,Sedan,Sahibinden,2. El,52000,210000
139,Audi,A4,A4 Sedan 2.0 TDI Sport,2016.0,Dizel,Yarı Otomatik Vites,1801,176,Füme ,Sedan,Galeriden,2. El,93000,329900
152,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Yarı Otomatik Vites,1301,101,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,195000,118500
154,Audi,A4,2.0 Multitronic,2011.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Sahibinden,2. El,170000,152000
155,Audi,A3,"1.0 TFSI Sportback
",2016.0,Benzin,Otomatik Vites,1300,101,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,37000,156000
156,Audi,A4,1.8 T,1998.0,Benzin/LPG,Otomatik Vites,1601,126,Lacivert ,Sedan,Sahibinden,2. El,384000,48500
157,Audi,A3,1.6 TDI Ambiente,2015.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,46000,192750
158,Audi,A5,A5 Sportback 2.0 TDI,2015.0,Dizel,Yarı Otomatik Vites,1801,176,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,71000,289900
162,BMW,5 Serisi,520d xDrive Pure,2018.0,Dizel,Otomatik Vites,1801,201,Siyah ,Sedan,Galeriden,2. El,59854,594500
167,Audi,Q3,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801,176,Gümüş Gri ,Arazi Aracı,Sahibinden,2. El,159900,206500
169,Audi,A4,2.5 TDI Avant,2003.0,Dizel,Otomatik Vites,2001,151,Gri ,Station Wagon,Galeriden,2. El,264000,76500
175,Audi,A6,A6 Sedan 2.0 TDI,2008.0,Dizel,Otomatik Vites,1801,126,Lacivert ,Sedan,Galeriden,2. El,295000,115000
176,Audi,A3,"1.6 TDI Sportback
",2016.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,52000,194500
177,Audi,A8,3.0 TDI Quattro Long,2012.0,Dizel,Otomatik Vites,1300,251,Siyah ,Sedan,Galeriden,2. El,194000,475000
179,Audi,A6,2.0 TDI,2013.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Sedan,Galeriden,2. El,220000,265000
180,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Yarı Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,179000,96000
181,Dacia,Dokker,"1.5 dCi Ambiance
",2015.0,Dizel,Düz Vites,1301,100,Beyaz ,Camlı Van,Galeriden,2. El,178535,63750
182,Audi,A3,1.6 Attraction Sportback,2011.0,Benzin/LPG,Düz Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,140000,97500
201,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1301,101,Gri ,Sedan,Galeriden,2. El,124000,105500
260,Hyundai,I20,1.2 Team,2011.0,Benzin,Düz Vites,1300,100,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,220000,49500
339,Jeep,Cherokee,5.2,2000.0,Benzin/LPG,Otomatik Vites,2001,126,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,249038,70750
359,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1601,126,Gri ,Sedan,Galeriden,2. El,130000,104000
378,Mercedes,Vito,110 D,2000.0,Dizel,Düz Vites,1601,101,Beyaz ,Camlı Van,Galeriden,2. El,250000,49500
398,Peugeot,2008,1.2 PureTech GT Line,2020.0,Benzin,Otomatik Vites,1300,126,Gri ,Arazi Aracı,Galeriden,0 km,10,269500
447,Audi,A3,"1.0 TFSI Sportback
",2018.0,Benzin,Otomatik Vites,1300,101,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,50000,159000
448,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,88000,189900
450,Audi,A3,1.6 Ambiente,2006.0,Benzin/LPG,Otomatik Vites,1601,101,Füme ,Hatchback 5 Kapı,Sahibinden,2. El,115000,107000
452,Audi,A6,2.0 TDI,2006.0,Dizel,Düz Vites,2001,151,Gümüş Gri ,Sedan,Sahibinden,2. El,379000,89500
453,Audi,100 Serisi,2.0,2006.0,Benzin/LPG,Otomatik Vites,2001,101,Mavi ,Sedan,Sahibinden,Klasik,215000,15000
454,Audi,A4,2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801,126,Siyah ,Sedan,Sahibinden,2. El,233000,95500
455,Audi,A8,4.2 4.2 Quattro Long,1995.0,Benzin/LPG,Yarı Otomatik Vites,4001,301,Gümüş Gri ,Sedan,Sahibinden,2. El,383000,50000
456,Audi,A3,1.6 Attraction,2007.0,Benzin/LPG,Yarı Otomatik Vites,1301,101,Gümüş Gri ,Hatchback 3 Kapı,Sahibinden,2. El,211000,65000
457,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801,126,Beyaz ,Sedan,Galeriden,2. El,160000,176500
458,BMW,7 Serisi,740d xDrive Exclusive,2012.0,Dizel,Otomatik Vites,3501,251,Beyaz ,Sedan,Galeriden,2. El,128707,597500
459,Audi,S Serisi,S5 3.0 TFSI Quattro,2010.0,Benzin,Yarı Otomatik Vites,2501,326,Siyah ,Spor / Coupe,Galeriden,2. El,160000,350000
460,Audi,A6,3.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,2501,226,Gri ,Sedan,Galeriden,2. El,211000,260000
461,Audi,A4,1.4 TFSI Design,2018.0,Benzin,Yarı Otomatik Vites,1301,126,Beyaz ,Sedan,Sahibinden,2. El,47000,299500
463,Audi,Q5,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801,151,Beyaz ,Arazi Aracı,Galeriden,2. El,252431,187500
464,Audi,A6,2.0 TDI,2011.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,375000,140000
466,Audi,A6,2.4 V6,2002.0,Benzin/LPG,Otomatik Vites,1301,376,Gri ,Sedan,Sahibinden,2. El,310000,56750
467,Audi,Q7,3.0 TDI Quattro,2008.0,Dizel,Otomatik Vites,2501,226,Siyah ,Arazi Aracı,Sahibinden,2. El,275000,180000
471,Audi,A4,1.6,2008.0,Benzin/LPG,Düz Vites,1301,101,Mavi ,Sedan,Sahibinden,2. El,182700,94500
473,BMW,3 Serisi,3.18i,2000.0,Benzin/LPG,Düz Vites,1801,101,Siyah ,Sedan,Sahibinden,2. El,165000,71000
474,BMW,3 Serisi,3.20d,2003.0,Dizel,Otomatik Vites,1801,126,Siyah ,Sedan,Galeriden,2. El,315000,83000
475,BMW,1 Serisi,1.16i Sport,2012.0,Dizel,Yarı Otomatik Vites,1301,126,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,91489,158500
476,BMW,3 Serisi,3.16i,1995.0,Benzin/LPG,Düz Vites,1301,101,Mor ,Hatchback 3 Kapı,Sahibinden,2. El,30000,29750
477,BMW,3 Serisi,3.16i,2011.0,Benzin/LPG,Otomatik Vites,1601,176,Beyaz ,Sedan,Sahibinden,2. El,87000,160750
479,BMW,Diğer,Diğer,2013.0,Dizel,Otomatik Vites,2501,226,Beyaz ,Sedan,Galeriden,2. El,160000,253000
480,BMW,X3,2.0d xDrive,2009.0,Dizel,Otomatik Vites,3001,226,Siyah ,MPV,Sahibinden,2. El,210000,153000
481,BMW,X3,2.0d xDrive,2009.0,Dizel,Otomatik Vites,3001,176,Siyah ,MPV,Sahibinden,2. El,210000,153000
482,BMW,3 Serisi,3.18i,1996.0,Benzin/LPG,Düz Vites,1601,151,Yeşil ,Sedan,Sahibinden,2. El,300000,48000
484,BMW,3 Serisi,3.20d Premium,2008.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Sahibinden,2. El,167000,112000
485,BMW,3 Serisi,3.16i,2005.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Sedan,Sahibinden,2. El,245000,61500
486,BMW,3 Serisi,3.20d Sport,2012.0,Dizel,Yarı Otomatik Vites,1801,176,Beyaz ,Sedan,Galeriden,2. El,147000,141500
488,BMW,5 Serisi,530i xDrive M Sport,2017.0,Benzin,Otomatik Vites,1801,251,Beyaz ,Sedan,Galeriden,2. El,60000,669900
489,BMW,7 Serisi,7.30Ld,2007.0,Dizel,Yarı Otomatik Vites,2501,226,Gri ,Sedan,Sahibinden,2. El,403000,148000
490,BMW,3 Serisi,3.20i EfficientDynamics M Paket,2014.0,Benzin,Yarı Otomatik Vites,1301,151,Beyaz ,Sedan,Galeriden,2. El,117000,239500
492,BMW,4 Serisi,420d M Sport,2016.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Üstü Açık / Cabriolet,Sahibinden,2. El,61000,495000
493,BMW,X6,4.0d xDrive,2011.0,Dizel,Otomatik Vites,2501,301,Beyaz ,Arazi Aracı,Galeriden,2. El,205000,389000
494,BMW,X5,3.0d xDrive,2009.0,Dizel,Otomatik Vites,2501,176,Beyaz ,Diğer,Galeriden,2. El,39000,269600
496,BMW,3 Serisi,318i Standart,1999.0,Benzin/LPG,Otomatik Vites,1801,126,Mavi ,Sedan,Galeriden,2. El,210000,70900
497,BMW,3 Serisi,318is,1997.0,Benzin,Düz Vites,1601,126,Siyah ,Sedan,Galeriden,2. El,210000,70900
498,BMW,1 Serisi,116d One Edition,2016.0,Dizel,Otomatik Vites,1301,101,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,35000,217500
499,BMW,1 Serisi,120d,2008.0,Dizel,Otomatik Vites,1801,176,Siyah ,Spor / Coupe,Galeriden,2. El,178500,155000
500,BMW,X5,44,2002.0,Benzin/LPG,Otomatik Vites,4001,276,Gri ,Arazi Aracı,Galeriden,2. El,215368,105000
501,BMW,5 Serisi,5.20d Comfort,2012.0,Dizel,Yarı Otomatik Vites,1801,176,Gümüş Gri ,Sedan,Sahibinden,2. El,104500,279500
502,BMW,X3,"2.0i sDrive
",2015.0,Benzin,Otomatik Vites,1301,151,Beyaz ,Sedan,Yetkili,0 km,118593,319900
503,BMW,3 Serisi,3.16i,2005.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Sedan,Sahibinden,2. El,245000,62500
504,BMW,3 Serisi,3.20d Sport,2012.0,Dizel,Yarı Otomatik Vites,2501,201,Beyaz ,Sedan,Galeriden,2. El,210000,130000
505,BMW,3 Serisi,3.20d Xdrive,2012.0,Dizel,Otomatik Vites,2501,251,Beyaz ,Sedan,Galeriden,2. El,192000,180000
506,BMW,3 Serisi,3.20d Premium,2011.0,Dizel,Otomatik Vites,1601,101,Beyaz ,Sedan,Galeriden,2. El,190000,110000
507,BMW,3 Serisi,320i First Edition M Sport ,2020.0,Benzin,Otomatik Vites,1301,151,Siyah ,Sedan,Galeriden,2. El,3350,585000
508,BMW,3 Serisi,3.16,2019.0,Benzin/LPG,Otomatik Vites,1801,101,Siyah ,Sedan,Galeriden,2. El,250000,57500
512,BMW,7 Serisi,7.35iL,2004.0,Benzin,Yarı Otomatik Vites,3501,251,Siyah ,Sedan,Sahibinden,2. El,256000,200000
513,BMW,5 Serisi,5.25d xDrive Premium,2012.0,Dizel,Otomatik Vites,2001,201,Beyaz ,Sedan,Galeriden,2. El,210000,270000
514,BMW,5 Serisi,5.25d xDrive Comfort,2012.0,Dizel,Otomatik Vites,2001,151,Siyah ,Sedan,Galeriden,2. El,158000,249500
515,BMW,5 Serisi,5.25d xDrive Comfort,2012.0,Dizel,Otomatik Vites,3001,251,Beyaz ,Sedan,Galeriden,2. El,200000,220000
516,BMW,X5,25d xDrive Premium,2014.0,Dizel,Yarı Otomatik Vites,1801,201,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,82463,543000
517,BMW,3 Serisi,3.20i ED Sport Line,2016.0,Benzin,Otomatik Vites,1301,151,Beyaz ,Sedan,Galeriden,2. El,80000,259500
518,BMW,5 Serisi,5.20d Premium,2011.0,Dizel,Yarı Otomatik Vites,1801,176,Füme ,Sedan,Galeriden,2. El,192000,203000
519,BMW,5 Serisi,520i,2016.0,Benzin,Otomatik Vites,1301,151,Beyaz ,Sedan,Sahibinden,2. El,132100,333000
520,BMW,3 Serisi,3.16i Comfort,2012.0,Benzin,Otomatik Vites,1301,126,Beyaz ,Sedan,Galeriden,2. El,104500,150000
522,BMW,3 Serisi,3.16i,2006.0,Benzin/LPG,Düz Vites,1301,101,Füme ,Sedan,Sahibinden,2. El,235000,101000
524,BMW,3 Serisi,3.20i,2006.0,Benzin/LPG,Otomatik Vites,1801,126,Füme ,Sedan,Galeriden,2. El,237000,102000
525,BMW,5 Serisi,5.25d xDrive Premium,2015.0,Dizel,Yarı Otomatik Vites,1801,201,Beyaz ,Sedan,Galeriden,2. El,133000,385000
526,BMW,3 Serisi,3.20i ED Sport Line,2015.0,Benzin,Yarı Otomatik Vites,1301,151,Beyaz ,Sedan,Sahibinden,2. El,138000,240000
528,BMW,X3,2.0d xDrive Premium,2012.0,Dizel,Otomatik Vites,1801,176,Mavi ,Arazi Aracı,Galeriden,2. El,107500,289900
529,BMW,3 Serisi,3.20i ED EfficientDynamics,2016.0,Benzin,Otomatik Vites,1301,151,Siyah ,Sedan,Galeriden,2. El,64900,249900
530,BMW,5 Serisi,5.25d xDrive Premium,2015.0,Dizel,Otomatik Vites,1801,201,Siyah ,Sedan,Galeriden,2. El,150000,340000
532,BMW,3 Serisi,3.20d,2012.0,Dizel,Yarı Otomatik Vites,1801,176,Beyaz ,Sedan,Galeriden,2. El,230000,202500
533,BMW,3 Serisi,3.30Xi,2007.0,Benzin/LPG,Otomatik Vites,2501,251,Gri ,Sedan,Sahibinden,2. El,207500,207500
534,BMW,X1,20d xDrive 2.0d xDrive,2011.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Station Wagon,Galeriden,2. El,299000,143000
535,BMW,3 Serisi,3.20d Premium,2008.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,278000,98000
