,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
2268,Fiat,Punto,1.4 Dynamic 16V,2004.0,Benzin,Düz Vites,1301,100,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,280000,38900
2269,Fiat,Egea,1.6 Multijet Easy Plus,2018.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,53500,132000
2270,Fiat,Palio,1.2 SL,2005.0,Benzin/LPG,Düz Vites,1300,51,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,140000,30500
2271,Fiat,Marea,1.6 Liberty,2004.0,Benzin/LPG,Düz Vites,1301,101,Gümüş Gri ,Sedan,Sahibinden,2. El,258000,36500
2273,Fiat,Punto,Grande 1.3  M.jet Dynamic,2008.0,Dizel,Düz Vites,1300,76,Füme ,Hatchback 5 Kapı,Sahibinden,2. El,233000,47500
2274,Fiat,Egea,1.3 Multijet Easy,2016.0,Dizel,Düz Vites,1300,76,Beyaz ,Sedan,Sahibinden,2. El,53000,94000
2275,Fiat,Egea,1.6 Multijet Urban,2018.0,Dizel,Düz Vites,1601,101,Beyaz ,Sedan,Sahibinden,2. El,25000,121500
2276,Fiat,Tipo,1.6 SX,1996.0,Benzin/LPG,Düz Vites,1301,51,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,175500,19250
2278,Fiat,Egea,1.4 Fire Easy Plus,2018.0,Benzin/LPG,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,12800,95500
2279,Fiat,Linea,1.3 Multijet Pop,2015.0,Dizel,Düz Vites,1300,76,Beyaz ,Sedan,Galeriden,2. El,170000,57750
2280,Fiat,Tempra,1.6 S,1994.0,Benzin/LPG,Düz Vites,1301,51,Beyaz ,Sedan,Galeriden,2. El,400000,16000
2281,Fiat,Albea,1.3 M.jet Active,2008.0,Dizel,Düz Vites,2001,50,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,300000,32000
2282,Fiat,Linea,"1.3 Multijet Active Plus
",2013.0,Dizel,Düz Vites,1300,76,Gümüş Gri ,Sedan,Galeriden,2. El,352000,39900
2283,Fiat,Albea,1.3 Multijet Active,2004.0,Dizel,Düz Vites,1300,51,Gri ,Sedan,Sahibinden,2. El,184998,39500
2284,Fiat,Egea,1.3 Multijet Lounge,2017.0,Dizel,Düz Vites,1300,76,Gri ,Sedan,Sahibinden,2. El,67000,110000
2285,Fiat,Egea,1.6 Multijet Lounge Plus,2017.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,29000,143000
2286,Fiat,Linea,"1.3 Multijet Active Plus
",2012.0,Dizel,Düz Vites,1301,76,Gümüş Gri ,Sedan,Sahibinden,2. El,260000,47500
2288,Fiat,Linea,"1.3 Multijet Emotion Plus
",2011.0,Dizel,Düz Vites,1301,76,Füme ,Sedan,Sahibinden,2. El,246000,46500
2289,Fiat,Linea,1.3 Multijet Pop,2012.0,Dizel,Düz Vites,1300,100,Gri ,Sedan,Sahibinden,2. El,155000,61750
2290,Fiat,Diğer,Diğer,2011.0,Dizel,Düz Vites,1601,101,Bordo ,Diğer,Sahibinden,2. El,302000,51000
2291,Fiat,Marea,1.6 SX,2001.0,Benzin/LPG,Düz Vites,1301,101,Gri ,Sedan,Sahibinden,2. El,184000,31250
2292,Fiat,Egea,1.4 Fire Urban,2016.0,Benzin/LPG,Düz Vites,1301,76,Mavi ,Sedan,Sahibinden,2. El,84000,89000
2293,Fiat,Linea,1.3 Multijet Actual,2013.0,Dizel,Düz Vites,1301,76,Gri ,Sedan,Sahibinden,2. El,145000,54000
2294,Fiat,Uno,70 SX,2000.0,Benzin/LPG,Düz Vites,1300,51,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,188250,22250
2295,Fiat,1100,1100,2014.0,Dizel,Düz Vites,1301,76,Bordo ,Minivan,Sahibinden,2. El,130000,72500
2296,Fiat,Uno,60 S,1994.0,Benzin,Düz Vites,1300,51,Mavi ,Hatchback 5 Kapı,Sahibinden,2. El,186700,13500
2297,Fiat,Punto,1.3 M.jet Dynamic,2006.0,Dizel,Düz Vites,1300,100,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,280000,36250
2299,Fiat,Egea,1.6 Multijet Urban,2016.0,Dizel,Düz Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,47000,104500
2300,Fiat,Albea,1.3 M.jet EL,2004.0,Dizel,Düz Vites,1300,51,Kahverengi ,Sedan,Galeriden,2. El,223000,34500
2301,Fiat,Linea,"1.3 Multijet Active Plus
",2012.0,Dizel,Düz Vites,1300,76,Beyaz ,Sedan,Sahibinden,2. El,118000,58500
2302,Fiat,Tempra,1.6 SX A,1994.0,Benzin/LPG,Düz Vites,1601,51,Bordo ,Sedan,Sahibinden,2. El,165000,25000
2304,Fiat,Tempra,1.6 SX AK,1993.0,Benzin/LPG,Düz Vites,1301,76,Lacivert ,Sedan,Sahibinden,2. El,228000,17750
2305,Fiat,Egea,1.3 Multijet Easy,2016.0,Dizel,Düz Vites,1300,76,Beyaz ,Sedan,Sahibinden,2. El,129000,81500
2306,Fiat,Linea,1.3 Multijet Pop,2014.0,Dizel,Düz Vites,1300,100,Beyaz ,Sedan,Sahibinden,2. El,150000,60000
2308,Fiat,Palio,1.2 Active,2004.0,Benzin/LPG,Düz Vites,1300,51,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,226023,32000
2310,Fiat,Linea,1.3 M.jet Active,2008.0,Dizel,Düz Vites,3001,76,Beyaz ,Sedan,Sahibinden,2. El,194000,46750
2311,Fiat,Uno,70 S,1997.0,Benzin/LPG,Düz Vites,1301,51,Kırmızı ,Sedan,Sahibinden,2. El,176000,20000
2312,Fiat,Linea,"1.3 Multijet Active Plus
",2013.0,Dizel,Düz Vites,1300,76,Beyaz ,Sedan,Sahibinden,2. El,154000,60000
2313,Fiat,Linea,1.3 Multijet Pop,2016.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,130000,64000
2314,Fiat,Palio,1.2 EL,2001.0,Benzin/LPG,Düz Vites,1300,76,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,217000,30000
2315,Fiat,Egea,1.3 Multijet Urban,2016.0,Dizel,Düz Vites,1300,76,Beyaz ,Sedan,Sahibinden,2. El,47000,98000
2316,Fiat,Albea,"1.3 Multijet
",2012.0,Dizel,Düz Vites,1300,100,Beyaz ,Sedan,Galeriden,2. El,157000,48000
2318,Fiat,Diğer,Diğer,1995.0,Benzin/LPG,Düz Vites,1301,76,Mavi ,Hatchback 5 Kapı,Sahibinden,2. El,0,20500
2319,Fiat,Egea,1.6 Multijet Easy Plus,2018.0,Dizel,Yarı Otomatik Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,45000,110900
2321,Fiat,Linea,1.3 M.jet Active,2014.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,180000,38000
2322,Fiat,Palio,1.2 S,2001.0,Benzin/LPG,Düz Vites,1300,51,Mavi ,Hatchback 5 Kapı,Sahibinden,2. El,251,24000
2324,Fiat,Linea,1.3 Multijet Actual,2014.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,192000,53500
2326,Fiat,Tempra,1.6 SX,1993.0,Benzin/LPG,Düz Vites,1601,76,Lacivert ,Sedan,Sahibinden,2. El,48500,16500
2328,Fiat,Brava,1.6 ELX,2001.0,Benzin/LPG,Düz Vites,1601,101,Şampanya ,Hatchback 5 Kapı,Sahibinden,2. El,267,27500
2329,Fiat,Egea,1.6 E-Torq Lounge,2017.0,Benzin,Otomatik Vites,1301,101,Füme ,Sedan,Sahibinden,2. El,11000,135000
2332,Fiat,Marea,1.6 16V Liberty,2004.0,Benzin/LPG,Düz Vites,1301,101,Gümüş Gri ,Sedan,Sahibinden,2. El,216000,38000
2333,Fiat,Linea,"1.3 Multijet
",2015.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,150000,64000
2335,Ford,Focus,1.6 TDCi Trend X,2014.0,Dizel,Düz Vites,1601,101,Beyaz ,Sedan,Galeriden,2. El,181000,105000
2336,Ford,Focus,1.6 Ti-VCT Titanium,2012.0,Benzin,Yarı Otomatik Vites,1301,101,Gri ,Sedan,Galeriden,2. El,87767,117500
2338,Ford,Focus,"1.6
",2011.0,Benzin/LPG,Düz Vites,1601,76,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,130000,83500
2340,Ford,Focus,1.6 Ambiente,1999.0,Benzin/LPG,Düz Vites,1301,101,Bordo ,Sedan,Galeriden,2. El,188000,36000
2341,Ford,Fiesta,1.4 TDCi Trend,2012.0,Dizel,Düz Vites,1301,100,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,181114,57900
2342,Ford,Focus,1.6 TDCi Trend X,2015.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Galeriden,2. El,159000,110000
2343,Ford,Focus,1.6 TDCi Trend X,2014.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Galeriden,2. El,188000,105000
2344,Ford,Fiesta,1.4 TDCi Comfort,2006.0,Dizel,Düz Vites,1301,76,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,150000,41250
2345,Ford,Fiesta,1.4 TDCi Titanium,2010.0,Dizel,Düz Vites,1301,76,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,179000,60900
2346,Ford,Focus,1.6 TDCi Celebration,2008.0,Dizel,Düz Vites,1301,101,Gri ,Sedan,Sahibinden,2. El,220000,62000
2347,Ford,Focus,"1.6
",2007.0,Benzin/LPG,Düz Vites,1301,76,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,187500,65000
2348,Ford,Fusion,1.6 Lux,2006.0,Dizel,Düz Vites,1601,101,Gri ,Hatchback 5 Kapı,Galeriden,2. El,218000,52000
2349,Ford,Focus,1.6 TDCi Trend,2008.0,Dizel,Düz Vites,1301,101,Gri ,Sedan,Galeriden,2. El,294000,58000
2350,Ford,Focus,1.6 TDCi Ghia,2006.0,Dizel,Düz Vites,1301,101,Siyah ,Sedan,Galeriden,2. El,290000,58000
2351,Ford,Focus,1.6 TDCi Titanium,2011.0,Dizel,Düz Vites,1301,101,Siyah ,Sedan,Galeriden,2. El,170000,84850
2352,Ford,Fiesta,1.4 TDCi Trend,2012.0,Dizel,Düz Vites,2501,76,Mavi ,Hatchback 5 Kapı,Sahibinden,2. El,230000,61750
2353,Ford,C-Max,1.6 TDCi Titanium X,2012.0,Dizel,Düz Vites,1301,101,Gümüş Gri ,MPV,Galeriden,2. El,146000,116500
2355,Ford,Focus,1.6 TDCi Trend X,2012.0,Dizel,Düz Vites,1301,101,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,223000,89000
2356,Ford,Fiesta,1.4 TDCi Trend,2011.0,Dizel,Düz Vites,1301,51,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,216000,54500
2358,Ford,Fiesta,1.4 TDCi Titanium X ,2011.0,Dizel,Düz Vites,1301,51,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,178000,76000
2360,Ford,Focus,1.6 Ti-VCT Trend X,2015.0,Benzin,Düz Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,52000,123000
2361,Ford,Fiesta,"1.4
",2012.0,Benzin/LPG,Otomatik Vites,1301,76,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,148150,77950
2362,Ford,Escort,1.6 CLX,1999.0,Benzin/LPG,Düz Vites,1601,76,Beyaz ,Sedan,Sahibinden,2. El,27287,25750
2363,Ford,Focus,1.6 TDCi Titanium,2015.0,Dizel,Düz Vites,1301,101,Gri ,Sedan,Sahibinden,2. El,205000,121000
2364,Ford,Focus,1.6 TDCi Collection,2008.0,Dizel,Düz Vites,1301,101,Mavi ,Sedan,Sahibinden,2. El,236500,61750
2365,Ford,Fiesta,1.5 TDCi Titanium X ,2016.0,Dizel,Düz Vites,1301,51,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,155000,104750
2366,Ford,Focus,1.6 TDCi Trend,2006.0,Benzin/LPG,Düz Vites,1301,101,Lacivert ,Sedan,Sahibinden,2. El,208000,63000
2367,Ford,Fiesta,1.5 TDCi Titanium,2013.0,Dizel,Düz Vites,1301,100,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,170000,87500
2368,Ford,Escort,1.6 CLX,1995.0,Benzin/LPG,Düz Vites,1801,51,Bordo ,Hatchback 5 Kapı,Galeriden,2. El,11,15500
2370,Ford,Focus,1.6 Ti-VCT Titanium,2016.0,Benzin/LPG,Düz Vites,1301,101,Füme ,Sedan,Sahibinden,2. El,36000,145000
2371,Ford,Kuga,1.6 EcoBoost Selective,2013.0,Benzin/LPG,Otomatik Vites,1301,176,Beyaz ,Arazi Aracı,Galeriden,2. El,187000,143000
2372,Ford,C-Max,1.6 TDCi Titanium X,2013.0,Dizel,Düz Vites,1301,101,Beyaz ,MPV,Sahibinden,2. El,58000,142500
2373,Ford,C-Max,1.6 Trend,2005.0,Benzin/LPG,Düz Vites,1301,100,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,173000,66500
2375,Ford,Focus,1.6 Comfort,2011.0,Benzin,Düz Vites,1601,101,Beyaz ,Sedan,Sahibinden,2. El,78500,87500
2376,Ford,Fiesta,1.25 Trend X,2015.0,Benzin,Düz Vites,1300,76,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,48800,87000
2377,Ford,Focus,1.6 TDCi Trend X,2014.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,163000,106000
2378,Ford,Focus,"1.6
",2006.0,Benzin/LPG,Düz Vites,1301,76,Gri ,Sedan,Galeriden,2. El,235000,46000
2379,Ford,Focus,1.6 Ti-VCT Style,2015.0,Benzin,Yarı Otomatik Vites,1301,101,Beyaz ,Sedan,Sahibinden,2. El,31000,138000
2380,Ford,Focus,1.6 TDCi Trend X,2012.0,Dizel,Düz Vites,1301,100,Gümüş Gri ,Sedan,Galeriden,2. El,283000,80000
2381,Ford,Focus,1.6 Ghia,2001.0,Benzin/LPG,Otomatik Vites,1601,100,Yeşil ,Hatchback 5 Kapı,Sahibinden,2. El,233000,46750
2383,Ford,Focus,1.6 TDCi Trend X,2014.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,142000,119900
2384,Ford,Focus,1.6 TDCi Trend,2006.0,Dizel,Düz Vites,1300,100,Gri ,Sedan,Galeriden,2. El,200000,62750
2385,Ford,Escort,1.6 CLX,1995.0,Benzin/LPG,Düz Vites,1301,76,Yeşil ,Sedan,Sahibinden,2. El,182000,18500
2386,Ford,Fusion,1.6 TDCi Lux,2006.0,Dizel,Düz Vites,1601,100,Gümüş ,Hatchback 5 Kapı,Sahibinden,2. El,167,55000
2387,Ford,Focus,1.6 TDCi Titanium,2014.0,Dizel,Düz Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,71000,134500
2388,Ford,Focus,1.6 Trend X,2015.0,Dizel,Düz Vites,1301,100,Beyaz ,Sedan,Sahibinden,2. El,90000,98750
2389,Ford,Focus,1.6 Ambiente,2000.0,Benzin/LPG,Düz Vites,1301,126,Lacivert ,Sedan,Sahibinden,2. El,190000,46500
2390,Ford,Fiesta,"1.4 TDCi
",2008.0,Dizel,Düz Vites,1601,51,Gri ,Sedan,Galeriden,2. El,205,48000
2391,Ford,Focus,1.6 TDCi Trend X,2016.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Galeriden,2. El,176000,119900
2392,Ford,Kuga,1.5 TDCI Titanium,2017.0,Dizel,Düz Vites,1301,101,Siyah ,Sedan,Galeriden,2. El,95000,205000
2393,Ford,Focus,1.6 TDCi Collection,2010.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,221000,58500
2395,Ford,Focus,1.6 TDCi Trend X,2013.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,133000,115000
2396,Ford,Focus,1.6 SCTi Trend,2015.0,Dizel,Düz Vites,1300,76,Beyaz ,Sedan,Galeriden,2. El,200000,115000
2397,Ford,Fiesta,1.4 TDCi Trend,2008.0,Dizel,Düz Vites,1801,76,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,240000,46000
2398,Ford,Diğer,Diğer,2015.0,Dizel,Düz Vites,1601,76,Beyaz ,Sedan,Galeriden,2. El,150,99999
2399,Ford,Focus,1.6 Trend,2008.0,Dizel,Düz Vites,1601,76,Gri ,Sedan,Galeriden,2. El,247,61500
2400,Ford,C-Max,1.6 TDCİ Ghia,2004.0,Dizel,Düz Vites,1301,101,Gri ,MPV,Sahibinden,2. El,170750,64000
2401,Ford,Focus,1.6 TDCi Ghia,2006.0,Dizel,Otomatik Vites,1601,101,Gri ,Hatchback 5 Kapı,Galeriden,2. El,196000,63000
2403,Ford,Fiesta,1.5 TDCi Titanium,2015.0,Dizel,Düz Vites,1301,51,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,91000,93000
2404,Ford,Focus,1.5 TDCi Titanium,2015.0,Dizel,Otomatik Vites,1301,101,Gri ,Sedan,Galeriden,2. El,178000,155000
2405,Ford,Fiesta,1.5 TDCi Trend X,2015.0,Dizel,Düz Vites,1301,76,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,48800,84500
2406,Ford,Focus,1.6 TDCi Trend X,2017.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Galeriden,2. El,85000,127500
2407,Ford,Focus,1.6 TDCi Trend,2009.0,Dizel,Düz Vites,1301,101,Gri ,Sedan,Sahibinden,2. El,263500,65000
2410,Ford,Fiesta,1.5 TDCi Trend,2013.0,Dizel,Düz Vites,1301,51,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,177000,67500
2411,Ford,Fiesta,1.4 Collection,2009.0,Benzin/LPG,Düz Vites,1301,76,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,200000,53500
2412,Ford,Focus,1.6 TDCi Titanium,2015.0,Dizel,Düz Vites,1301,126,Beyaz ,Sedan,Sahibinden,2. El,100500,142000
2413,Ford,Focus,1.6 TDCi Trend X,2017.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Galeriden,2. El,58000,128000
